adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0001407463-12-000017	1407463	PIONEER SOUTHWEST ENERGY PARTNERS L.P.	1311	US	TX	IRVING	75039	5205 N. O'CONNOR BLVD., SUITE 200		(972) 444-9001	US	TX	IRVING	75039	5205 N. O'CONNOR BLVD., SUITE 200		US	DE	260388421			2-ACC	0	1231	10-Q	20120930	2012	Q3	20121102	2012-11-02 14:44:00.0	0	1	pse-20120930.xml	1	
0001185185-12-002538	1393540	IGEN NETWORKS CORP	7363	US	DC	WASHINGTON	20005	1100 H STREET NW,	SUITE 920	1-888-244-3650	US	DC	WASHINGTON	20005	1100 H STREET NW,	SUITE 920	US	NV	205879021	SYNC2 ENTERTAINMENT CORP.	20081009	5-SML	0	1231	10-Q	20120930	2012	Q3	20121114	2012-11-14 15:53:00.0	0	1	igen-20120930.xml	1	
0001326771-12-000039	1326771	FEDERAL HOME LOAN BANK OF CINCINNATI	6111	US	OH	CINCINNATI	45202	221 E. 4TH STREET	1000 ATRIUM TWO	513-852-7500	US	OH	CINCINNATI	45201-0598	1000 ATRIUM TWO	P.O. BOX 598	US		316000228			4-NON	0	1231	10-Q	20120930	2012	Q3	20121109	2012-11-09 12:49:00.0	0	1	fhlbcin-20120930.xml	1	
0001213900-12-006161	1353505	VOICESERVE INC	4813	GB		MIDDLESEX, ENGLAND	HA8 7TA	GROSVENOR HOUSE	1 HIGH STREET	44 208 136 6000	GB		MIDDLESEX, ENGLAND	HA8 7TA	GROSVENOR HOUSE	1 HIGH STREET	US	DE	000000000	4306 INC	20060215	5-SML	0	0331	10-Q/A	20120630	2012	Q1	20121114	2012-11-14 14:34:00.0	0	1	vsrv-20120630.xml	1	
0001193125-12-455735	54441	FURMANITE CORP	1700	US	TX	HOUSTON	77042	10370 RICHMOND AVENUE	SUITE 600	713-634-7777	US	TX	HOUSTON	77042	10370 RICHMOND AVENUE	SUITE 600	US	DE	741191271	XANSER CORP	20010828	2-ACC	0	1231	10-Q	20120930	2012	Q3	20121107	2012-11-07 06:08:00.0	0	1	frm-20120930.xml	1	
0001193125-12-443979	1443669	PROTO LABS INC	3440	US	MN	MAPLE PLAIN	55359	5540 Pioneer Creek		763-479-7474	US	MN	Maple Plain	55359	5540 Pioneer Creek				000000000			4-NON	0		S-1	20120930			20121031	2012-10-31 16:51:00.0	0	1	prlb-20120930.xml	1	
0001193125-12-449273	1301106	NATIONAL INTERSTATE CORP	6331	US	OH	RICHFIELD	44286	3250 INTERSTATE DRIVE		(330) 659-8900	US	OH	RICHFIELD	44286	3250 INTERSTATE DRIVE		US	OH	341607394			2-ACC	0	1231	10-Q	20120930	2012	Q3	20121102	2012-11-02 16:51:00.0	0	1	natl-20120930.xml	1	
0001144204-12-059984	1002390	AMERICA'S SUPPLIERS, INC.	7372	US	AZ	SCOTTSDALE	85260	7575 E. REDFIELD ROAD	SUITE #201,	5103603700	US	AZ	SCOTTSDALE	85260	7575 E. REDFIELD ROAD	SUITE #201,			000000000	AMERICAS SUPPLIERS INC	20091216	5-SML	0	1231	10-Q	20120930	2012	Q3	20121107	2012-11-07 13:57:00.0	0	1	aasl-20120930.xml	1	
0000891092-12-006762	1482879	FACTORSHARES 2X: GOLD BULL/S&P500 BEAR	6221	US	NY	NEW YORK	10119	FACTOR CAPITAL MANAGEMENT, LLC	1 PENN PLAZA, 36TH FLOOR	(212) 786-7481	US	NY	NEW YORK	10119	FACTOR CAPITAL MANAGEMENT, LLC	1 PENN PLAZA, 36TH FLOOR			806154069	FACTORSHARES S&P GOLD PREMIUM	20100304	5-SML	0	1231	10-Q	20120930	2012	Q3	20121115	2012-11-14 17:36:00.0	0	1	fsg-20120930.xml	1	
0000859222-12-000006	859222	CARROLLTON BANCORP	6022	US	MD	COLUMBIA	21046	7151 COLUMBIA GATEWAY DRIVE, SUITE A		(410) 312-5400	US	MD	COLUMBIA	21046	7151 COLUMBIA GATEWAY DRIVE, SUITE A		US	MD	521660951			5-SML	0	1231	10-Q	20120930	2012	Q3	20121113	2012-11-13 15:29:00.0	0	1	c222-20120930.xml	1	
0001214782-12-000107	1473637	SANDALWOOD VENTURES	2990	CA	ON	WOODRIDGE	L4L 7X6	15-65 WOODSTREAM BLVD.		877-275-2545	CA	ON	WOODRIDGE	L4L 7X6	15-65 WOODSTREAM BLVD.		US	NV	000000000			5-SML	0	1231	10-Q	20120930	2012	Q3	20121116	2012-11-16 13:25:00.0	0	1	swdz-20120930.xml	1	
0001387131-12-003666	803164	CHOICEONE FINANCIAL SERVICES INC	6022	US	MI	SPARTA	49345-0186	109 E DIVISION	P O BOX 186	6168877366	US	MI	SPARTA	49345-0186	109 EAST DIVISION	P O BOX 186	US	MI	382659066	1ST COMMUNITY BANCORP INC	19920703	5-SML	0	1231	10-Q	20120930	2012	Q3	20121114	2012-11-13 20:48:00.0	0	1	cofs-20120930.xml	1	
0001477932-12-004679	1109153	BIOPACK ENVIRONMENTAL SOLUTIONS INC.	9995	HK		KOWLOON	00000	UNIT 390, 3RD FLOOR, PENINSULA CENTRE	67 MODY ROAD, TSIM SHA TSUI EAST	852-3586-1383	HK		KOWLOON	00000	UNIT 390, 3RD FLOOR, PENINSULA CENTRE	67 MODY ROAD, TSIM SHA TSUI EAST	US	NV	912027724	STAR METRO CORP.	20061128	5-SML	0	1231	10-Q	20110630	2011	Q2	20121130	2012-11-30 17:03:00.0	0	0	bpac-20110630.xml	1	
0001144204-12-062220	1124608	RESPONSE GENETICS INC	2835	US	CA	LOS ANGELES,	90033	1640 MARENGO ST.,	6TH FLOOR	(323) 224-3900	US	CA	LOS ANGELES,	90033	1640 MARENGO ST.,	6TH FLOOR			000000000			5-SML	0	1231	10-Q	20120930	2012	Q3	20121114	2012-11-14 13:25:00.0	0	1	rgdx-20120930.xml	1	
0001144204-12-069143	1270073	INTERCEPT PHARMACEUTICALS INC	2834	US	NY	NEW YORK	10013	18 Desbrosses Street		646-747-1000	US	NY	New York	10013	18 Desbrosses Street		US	DE	223868459			4-NON	0	1231	10-Q/A	20120930	2012	Q3	20121221	2012-12-21 11:07:00.0	0	1	icpt-20120930.xml	1	
0000870753-12-000024	870753	NUMEREX CORP /PA/	3669	US	GA	ATLANTA	30339	1600 PARKWOOD CIRCLE	SUITE 200	770-693-5950	US	GA	ATLANTA	30339	1600 PARKWOOD CIRCLE	SUITE 200	US	PA	112948749			2-ACC	0	1231	10-Q	20120930	2012	Q3	20121109	2012-11-09 14:58:00.0	0	1	nmrx-20120930.xml	1	
0001104659-12-074643	1475899	NYTEX ENERGY HOLDINGS, INC.	1311	US	TX	DALLAS	75251	12222 MERIT DRIVE, SUITE 1850		972-770-4700	US	TX	DALLAS	75251	12222 MERIT DRIVE, SUITE 1850		US	DE	841080045			5-SML	0	1231	10-Q	20120930	2012	Q3	20121106	2012-11-06 14:19:00.0	0	1	nyte-20120930.xml	1	
